Time,Humphrey Hall,Jorns Halls,Gilman House,Mack House,Seed Building,DeJope Residence Hall,Phillips Residence Hall,Sullivan Residence Hall,Swenson House,Chamberlin Residence Hall,Cole Residence Hall,Veterinary Medicine Building,Tripp Residence Hall,Livestock Laboratory,Agricultural Engineering Laboratory,Veterinary Diagnostic Lab,Adams Residence Hall,Turner House, Kronshage Residence Hall, Leopold Residence Hall,Bakke Recreation & Wellbeing Center,Bradley Residence Hall,Jones Residence Hall,Goodnight Hall,Slichter Residence Hall,Carson Gulley Center
1/1/23 0:00,0.43 kW,0.27 kW,0.27 kW,0.43 kW,19.13 kW,0.43 kW,0.43 kW,0.43 kW,0.43 kW,0.27 kW,0.43 kW,31.99 kW,0.27 kW,18.96 kW,13.03 kW,18.96 kW,0.27 kW,0.43 kW,0.27 kW,0.27 kW,285.99 kW,0.43 kW,0.27 kW,13.03 kW,0.27 kW,0.27 kW
1/1/23 0:15,0.27 kW,0.27 kW,0.27 kW,0.27 kW,19.11 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,31.98 kW,0.27 kW,18.94 kW,13.04 kW,18.94 kW,0.27 kW,0.27 kW,0.27 kW,0.27 kW,286.03 kW,0.27 kW,0.27 kW,13.04 kW,0.27 kW,0.27 kW
1/1/23 0:30,0.10 kW,0.29 kW,0.29 kW,0.10 kW,19.09 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.29 kW,0.10 kW,31.92 kW,0.29 kW,18.92 kW,12.99 kW,18.92 kW,0.29 kW,0.10 kW,0.29 kW,0.29 kW,287.27 kW,0.10 kW,0.29 kW,12.99 kW,0.29 kW,0.29 kW
1/1/23 0:45,0.10 kW,0.29 kW,0.29 kW,0.10 kW,19.12 kW,0.10 kW,0.10 kW,0.10 kW,0.10 kW,0.29 kW,0.10 kW,32.01 kW,0.29 kW,18.95 kW,13.05 kW,18.95 kW,0.29 kW,0.10 kW,0.29 kW,0.29 kW,287.27 kW,0.10 kW,0.29 kW,13.05 kW,0.29 kW,0.29 kW
1/1/23 1:00,0.15 kW,0.69 kW,0.69 kW,0.15 kW,19.54 kW,0.15 kW,0.15 kW,0.15 kW,0.15 kW,0.69 kW,0.15 kW,33.76 kW,0.69 kW,19.37 kW,14.39 kW,19.37 kW,0.69 kW,0.15 kW,0.69 kW,0.69 kW,317.03 kW,0.15 kW,0.69 kW,14.39 kW,0.69 kW,0.69 kW
1/1/23 1:15,0.16 kW,0.71 kW,0.71 kW,0.16 kW,19.52 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.71 kW,0.16 kW,33.84 kW,0.71 kW,19.36 kW,14.49 kW,19.36 kW,0.71 kW,0.16 kW,0.71 kW,0.71 kW,316.74 kW,0.16 kW,0.71 kW,14.49 kW,0.71 kW,0.71 kW
1/1/23 1:30,0.16 kW,0.72 kW,0.72 kW,0.16 kW,19.40 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.72 kW,0.16 kW,33.83 kW,0.72 kW,19.23 kW,14.60 kW,19.23 kW,0.72 kW,0.16 kW,0.72 kW,0.72 kW,317.09 kW,0.16 kW,0.72 kW,14.60 kW,0.72 kW,0.72 kW
1/1/23 1:45,0.16 kW,0.73 kW,0.73 kW,0.16 kW,19.42 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.73 kW,0.16 kW,33.99 kW,0.73 kW,19.25 kW,14.75 kW,19.25 kW,0.73 kW,0.16 kW,0.73 kW,0.73 kW,316.59 kW,0.16 kW,0.73 kW,14.75 kW,0.73 kW,0.73 kW
1/1/23 2:00,0.16 kW,0.74 kW,0.74 kW,0.16 kW,19.39 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.74 kW,0.16 kW,34.20 kW,0.74 kW,19.21 kW,14.99 kW,19.21 kW,0.74 kW,0.16 kW,0.74 kW,0.74 kW,316.69 kW,0.16 kW,0.74 kW,14.99 kW,0.74 kW,0.74 kW
1/1/23 2:15,0.16 kW,0.76 kW,0.76 kW,0.16 kW,19.31 kW,0.16 kW,0.16 kW,0.16 kW,0.16 kW,0.76 kW,0.16 kW,34.15 kW,0.76 kW,19.14 kW,15.01 kW,19.14 kW,0.76 kW,0.16 kW,0.76 kW,0.76 kW,316.55 kW,0.16 kW,0.76 kW,15.01 kW,0.76 kW,0.76 kW
