Hour,Load (kW)
1,406.4925
2,446.45
3,447.745
4,451.91999999999996
5,454.5125
6,464.6675
7,490.70000000000005
8,549.5675000000001
9,545.7925
10,542.6174999999998
11,551.3375
12,542.4775
13,528.7800000000001
14,498.28
15,480.48500000000007
16,470.90749999999997
17,447.67999999999995
18,456.90999999999997
19,460.5825
20,459.725
21,461.14750000000004
22,459.8725
23,447.18
24,445.12750000000005
25,448.06499999999994
26,446.72999999999996
27,446.115
28,451.0274999999999
29,454.2125
30,465.22999999999996
31,490.61249999999995
32,549.6675
33,543.7425000000001
34,542.4999999999999
35,547.6374999999999
36,540.395
37,525.8074999999999
38,498.49999999999994
39,482.4275
40,475.275
41,450.05250000000007
42,457.81750000000005
43,461.9975
44,463.53000000000003
45,458.37249999999995
46,458.57500000000005
47,446.01500000000004
48,446.135
49,444.9975
50,446.15999999999997
51,443.72749999999996
52,447.7175
53,448.89000000000004
54,459.745
55,487.6075
56,540.2325000000001
57,536.465
58,537.3300000000002
59,546.2025000000001
60,539.5475000000001
61,523.4449999999999
62,495.45500000000004
63,476.4575
64,469.0025
65,443.5225
66,453.65999999999997
67,456.875
68,458.8125
69,461.74749999999995
70,458.7275
71,443.82
72,443.6475
73,447.94000000000005
74,446.04249999999996
75,445.6375
76,450.99249999999995
77,452.63499999999993
78,461.87499999999994
79,490.135
80,549.0775000000002
81,543.9525000000001
82,542.2274999999998
83,546.5375
84,542.745
85,524.4575
86,499.77
87,478.96500000000003
88,470.5475
89,445.735
90,459.4325
91,460.835
92,462.6925
93,461.045
94,461.68
95,446.48750000000007
96,442.97249999999997
97,446.18999999999994
98,447.4125
99,446.45
100,451.6499999999999
101,452.82500000000005
102,462.08250000000004
103,487.61249999999995
104,545.8625000000002
105,543.5525000000001
106,545.685
107,550.805
108,541.0975
109,529.49
110,500.63749999999993
111,483.205
112,469.2674999999999
113,442.8275
114,448.7
115,461.65500000000003
116,457.43
117,457.3475
118,458.90999999999997
119,444.71000000000004
120,444.57250000000005
121,446.51500000000004
122,405.645
123,401.9675
124,407.6075
125,408.2125
126,408.0400000000001
127,409.4725
128,436.61499999999995
129,420.3825
130,389.8325
131,385.845
132,384.5675
133,381.965
134,383.075
135,381.27
136,380.23249999999996
137,383.0424999999999
138,406.63500000000005
139,416.4525
140,417.07499999999993
141,421.23
142,418.6425
143,404.20250000000004
144,407.32
145,404.74499999999995
146,395.755
147,394.6774999999999
148,400.1524999999999
149,396.38
150,396.51
151,398.855
152,415.6125
153,393.68500000000006
154,371.45250000000004
155,369.4475
156,371.16249999999997
157,372.71000000000004
158,371.35
159,369.78
160,370.50249999999994
161,371.755
162,385.95750000000004
163,400.03249999999997
164,401.4825000000001
165,413.81
166,408.74
167,390.6574999999999
168,387.5375
169,388.615
170,437.12
171,436.7724999999999
172,440.1699999999999
173,443.1574999999999
174,453.9649999999999
175,479.22
176,532.8975
177,530.725
178,529.4950000000001
179,536.7074999999999
180,524.97
181,515.48
182,494.74749999999995
183,480.8225
184,468.355
185,434.92249999999996
186,421.3425
187,445.36499999999995
188,451.95249999999993
189,452.605
190,441.46999999999997
191,434.74499999999995
192,431.815
193,428.79749999999996
194,430.22249999999997
195,430.65500000000003
196,434.52750000000003
197,440.83000000000004
198,453.1425
199,481.8425
200,531.915
201,530.6525000000001
202,533.1850000000001
203,538.82
204,523.0274999999999
205,519.1575
206,498.66999999999996
207,477.7075
208,462.895
209,427.3949999999999
210,424.3275
211,447.01499999999993
212,450.26750000000004
213,445.5
214,438.40250000000003
215,434.8825
216,433.36
217,434.3175
218,435.7825
219,434.9525000000001
220,438.83500000000004
221,440.6075000000001
222,451.2650000000001
223,478.2625
224,531.46
225,530.0724999999999
226,530.41
227,535.8325
228,530.8100000000001
229,518.9825000000001
230,494.46999999999997
231,477.5375000000001
232,469.0474999999999
233,440.9525
234,438.68250000000006
235,451.14
236,450.7575
237,439.5324999999999
238,410.7874999999999
239,403.22249999999997
240,399.49750000000006
241,396.47249999999997
242,394.9375
243,387.3
244,387.005
245,391.25250000000005
246,399.25750000000005
247,476.2075
248,528.0050000000001
249,523.43
250,522.955
251,521.8925000000002
252,509.7125
253,484.9599999999999
254,462.25499999999994
255,465.05
256,468.485
257,445.2425
258,442.255
259,449.27000000000004
260,447.99750000000006
261,451.7775
262,450.82499999999993
263,443.5875
264,438.3825
265,439.71500000000003
266,439.51500000000004
267,441.37
268,443.4475
269,444.5924999999999
270,455.085
271,484.30000000000007
272,539.9975
273,538.7175
274,542.115
275,548.2824999999999
276,541.78
277,526.8025
278,495.1249999999999
279,476.3750000000001
280,467.0200000000001
281,445.56
282,444.3125
283,455.30499999999995
284,454.4
285,455.2125
286,458.005
287,445.345
288,443.31499999999994
289,444.61999999999995
290,401.6275
291,400.39
292,406.48249999999996
293,404.46000000000004
294,405.00749999999994
295,406.8025
296,429.96999999999997
297,417.9525
298,388.24999999999994
299,385.27000000000004
300,382.5525
301,382.83
302,387.49500000000006
303,384.565
304,383.2275
305,383.16999999999996
306,400.96250000000003
307,416.3175
308,418.1425
309,421.295
310,419.74249999999995
311,408.71500000000003
312,407.3025
313,405.375
314,394.64
315,394.77250000000004
316,399.68999999999994
317,398.85499999999996
318,398.54749999999996
319,401.4624999999999
320,422.285
321,401.4075
322,377.47
323,373.54499999999996
324,373.8075
325,376.18499999999995
326,379.15
327,381.1024999999999
328,379.79249999999996
329,378.08250000000004
330,394.03000000000003
331,404.59000000000003
332,405.8475
333,408.9175
334,409.12
335,396.9775
336,395.09499999999997
337,393.20500000000004
338,443.655
339,443.7825
340,446.24249999999995
341,447.41499999999996
342,459.0375
343,485.4375
344,540.6324999999999
345,539.4175
346,536.0425
347,545.8774999999999
348,537.2925
349,527.2975
350,498.94500000000005
351,479.9025
352,474.82000000000005
353,447.2
354,445.1424999999999
355,456.96000000000004
356,458.29249999999996
357,456.08000000000004
358,458.1775
359,445.27250000000004
360,444.8375
361,444.4575
362,442.425
363,442.7625
364,446.7275
365,448.39750000000004
366,457.975
367,485.9475
368,538.7375000000001
369,536.0250000000001
370,536.8
371,546.685
372,538.3875
373,524.8599999999999
374,498.005
375,476.53249999999997
376,467.11250000000007
377,438.27000000000004
378,444.1425
379,459.78
380,456.78249999999997
381,454.36249999999995
382,456.5825
383,444.8175
384,442.54
385,442.9675
386,442.9125
387,442.945
388,447.975
389,448.62249999999995
390,459.385
391,485.3225
392,541.2150000000001
393,540.1675
394,541.1225
395,545.6525
396,537.9250000000001
397,521.6975
398,495.31500000000005
399,477.6575
400,470.18999999999994
401,438.0325
402,440.14750000000004
403,456.7075000000001
404,456.60749999999996
405,454.3525000000001
406,454.2675
407,443.63
408,441.2800000000001
409,443.4475
410,440.61
411,441.11749999999995
412,446.47999999999996
413,446.0125000000001
414,455.6500000000001
415,482.51
416,536.3199999999999
417,534.7
418,536.085
419,542.2025
420,534.2925
421,522.2874999999999
422,497.66
423,482.275
424,472.1425
425,436.88749999999993
426,428.075
427,448.6075
428,448.29499999999996
429,448.9375
430,441.615
431,432.49
432,432.7575
433,432.45500000000004
434,434.03749999999997
435,433.77
436,437.98500000000007
437,440.85499999999996
438,451.3924999999999
439,481.4175
440,535.855
441,526.9200000000001
442,531.7375
443,541.9124999999999
444,530.1025
445,520.4975
446,494.91999999999996
447,472.8975
448,460.81999999999994
449,429.4224999999999
450,423.0725
451,447.5
452,446.71999999999997
453,438.745
454,418.3299999999999
455,413.03
456,410.7199999999999
457,411.93
458,373.4025
459,367.9475
460,376.3225
461,379.545
462,382.5
463,390.6925
464,413.37750000000005
465,391.35999999999996
466,377.705
467,359.775
468,369.05
469,377.2975
470,380.2525
471,368.4175
472,345.34499999999997
473,359.285
474,347.86999999999995
475,377.91749999999996
476,388.74999999999994
477,397.8474999999999
478,365.48999999999995
479,330.23999999999995
480,348.80999999999995
481,348.7575
482,338.28999999999996
483,353.925
484,364.225
485,363.26
486,367.8075
487,375.2475
488,387.47749999999996
489,353.2825
490,323.4625
491,302.0825
492,300.3075
493,302.34749999999997
494,300.2674999999999
495,308.29999999999995
496,317.1349999999999
497,325.365
498,345.9625
499,373.1975
500,377.525
501,382.5075
502,391.88250000000005
503,379.92250000000007
504,382.00750000000005
505,382.0
506,430.4875
507,431.54999999999995
508,437.48749999999995
509,438.79750000000007
510,448.4175000000001
511,477.9925
512,530.975
513,519.0274999999999
514,528.5274999999999
515,534.5575
516,528.6550000000001
517,516.6100000000001
518,489.24
519,469.89250000000004
520,458.7625
521,421.765
522,422.6425
523,453.8
524,448.435
525,437.23
526,401.7150000000001
527,394.0775
528,402.2075
529,406.88250000000005
530,408.48249999999996
531,408.92249999999996
532,416.08750000000003
533,418.07
534,429.05749999999995
535,479.14250000000004
536,537.0899999999999
537,523.4975
538,529.7074999999999
539,538.1899999999998
540,533.2724999999998
541,520.925
542,498.04499999999996
543,482.2075
544,473.7925
545,445.95000000000005
546,435.6675
547,457.8375000000001
548,454.67999999999995
549,446.25750000000005
550,430.43749999999994
551,418.5625
552,415.44499999999994
553,417.1700000000001
554,417.56250000000006
555,418.65
556,422.98750000000007
557,425.55250000000007
558,432.6725000000001
559,478.7275
560,534.415
