Hour,Load (kW)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,219.06728
10,251.00938
11,348.87397
12,570.4611
13,662.82
14,665.7658
15,442.88888000000003
16,158.12953
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,128.33971
34,111.45137
35,286.6273
36,254.70136
37,190.15669
38,276.08206
39,134.49095
40,132.44879999999998
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,40.570226999999996
58,87.84197
59,123.30868
60,138.67017
61,144.02077
62,118.13258
63,82.73080499999999
64,59.7576
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,25.73861
82,88.39908
83,81.03487
84,193.61823
85,113.08022
86,281.61103
87,205.19281
88,87.69028999999999
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,198.03131
106,215.17498
107,686.37325
108,443.44228000000004
109,248.12617
110,177.12664
111,136.97348000000002
112,198.32288
113,0.118427536
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,203.32604999999998
130,296.5532
131,218.92970000000003
132,263.76946999999996
133,309.12847
134,180.69686
135,239.81052
136,98.17927
137,0.116233734
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,219.15607999999997
154,519.7908
155,670.3414
156,700.442
157,356.85256
158,274.1315
159,179.34928
160,30.850953
161,0.11539772999999999
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,73.84475
178,496.09740000000005
179,312.60470000000004
180,192.57076999999998
181,247.10727
182,227.4458
183,138.44235999999998
184,217.0563
185,0.55241943
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.11846436
201,233.56383
202,265.43203000000005
203,487.8395
204,380.1361
205,217.7156
206,190.08212
207,352.89646999999997
208,165.55069
209,1.3123077
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
