Hour,Load (kW-DC)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,225.08684
10,258.03839999999997
11,358.97525
12,588.14744
13,683.967
14,687.1943
15,456.1221
16,162.3116
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,131.77102
34,114.44169000000001
35,294.7538
36,261.86064
37,195.39520000000002
38,283.88744
39,138.12508
40,135.97226999999998
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,41.633812
58,90.18314
59,126.633805
60,142.42838
61,147.93034
62,121.31341400000001
63,84.93072000000001
64,61.332418
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,26.410387
82,90.75475999999999
83,83.18949
84,198.95798000000002
85,116.11906
86,289.58347
87,210.86297
88,90.01971
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,203.4349
106,221.13806
107,708.3829000000001
108,456.57665999999995
109,255.0818
110,181.98445
111,140.67947
112,203.72373000000002
113,0.15293542
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,208.88783999999998
130,304.97056
131,225.01222
132,271.20144
133,317.95716
134,185.65625
135,246.51442
136,100.79639
137,0.15040985
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,225.16260999999997
154,535.6776
155,692.3742
156,722.70944
157,367.17312
158,281.87794
159,184.2644
160,31.657604
161,0.14945007000000002
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,75.79899
178,511.14896999999996
179,321.54953
180,197.88119
181,254.03455
182,233.78073
183,142.18789999999998
184,223.00773
185,0.6922986
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.15307979
201,240.01486
202,272.89696999999995
203,502.57038
204,391.20384
205,223.76760000000002
206,195.31584
207,363.11670000000004
208,170.01292
209,1.4325409999999998
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
