Hour,PV (kW-AC/kW-DC nameplate)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.1278170809663318
10,0.1464540311395145
11,0.20355414314057124
12,0.3328414567745703
13,0.3867292167324305
14,0.38844797435388184
15,0.2584081193414553
16,0.09226231749067222
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.07488113744903181
34,0.06502745997986828
35,0.16723567668919367
36,0.14860815523593854
37,0.11094889680476085
38,0.1610829468297213
39,0.07847014234799865
40,0.0772786287093786
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.023671120531014302
58,0.05125231021142038
59,0.0719457307152921
60,0.08090855168560541
61,0.0840304148566753
62,0.06892568138254908
63,0.048270147879203154
64,0.03486619269456245
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.015017459468756982
82,0.05157736183016121
83,0.04728063698004636
84,0.11296856828855431
85,0.06597782943865743
86,0.1643088818308334
87,0.11972187726747295
88,0.051163810939228865
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.1155434256733308
106,0.12554607808427082
107,0.4004716051998924
108,0.25873100632214346
109,0.14477179230397075
110,0.1033463787297414
111,0.07991860027385299
112,0.11571354521969734
113,6.909777652580144e-05
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.11863269674692825
130,0.1730270461897586
131,0.12773680848566124
132,0.15389903824722895
133,0.18036421814790535
134,0.10542946068888935
135,0.139919939898912
136,0.057283715317072215
137,6.781777995188086e-05
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.1278688922491021
154,0.30327734369621223
155,0.3911176557214943
156,0.4086801635836231
157,0.20820933438605146
158,0.15994487232836405
159,0.1046432011344337
160,0.018000309117315448
161,6.733000473069685e-05
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.04308548674949782
178,0.2894531832548735
179,0.18239246066485082
180,0.11235741686681303
181,0.14417730451101235
182,0.13270561552620777
183,0.08077563357380459
184,0.1266437537881166
185,0.0003223148569320113
186,0.0
187,0.0
