hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power,irradiance_on_surface,surface_reflected_irradiance,collector_normalized_irradiance,rear_surface_irradiance,rear_diffuse_irradiance,rear_beam_irradiance,unshaded_rear_irradiance,total_rear_irradiance,total_front_irradiance,effective_rear_irradiance,module_power_after_rear_mismatch
1,1998-01-01 00:00:00,0.0,0.0,0.0,-8.2,4.4,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1998-01-01 01:00:00,0.0,0.0,0.0,-8.1,4.8,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998-01-01 02:00:00,0.0,0.0,0.0,-7.1,5.1,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998-01-01 03:00:00,0.0,0.0,0.0,-6.2,5.5,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1998-01-01 04:00:00,0.0,0.0,0.0,-5.7,5.9,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1998-01-01 05:00:00,0.0,0.0,0.0,-4.6,6.2,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1998-01-01 06:00:00,0.0,0.0,0.0,-3.9,6.6,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998-01-01 07:00:00,0.0,39.0,0.0,-2.8,7.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1998-01-01 08:00:00,122.0,207.0,91.0,-0.9,7.3,0.16,8.348129,132.748,77.655914,0.0,,122.0,45.63382,100.77348,0.07241279,36.10013,99.7014,0.042842254,29.395466,95.12244,0.011047905,122.03837,122.46038,221317.75,2.0349874,212380.52,227464.11,225086.84,181297.47,179060.52,222680.67,1617.1224,0.0,0.0,277.42715,0.0,222403.33,942.29517,219067.28,217971.953125,15.302719,3.0605438,3.8665693,0.48570514,0.06348341,0.0,0.54918855,0.52248526,122.04239,0.41798818,225010.02
10,1998-01-01 09:00:00,141.0,101.0,113.0,1.0,7.7,0.16,15.56381,144.78085,69.624054,0.0,,141.0,36.320595,119.00477,0.0836902,33.50547,117.73921,0.04951441,30.32066,112.32951,0.012768481,139.8097,140.32538,253605.12,4.36339,244839.17,260430.19,258038.4,211153.42,208542.14,255213.38,1647.0527,0.0,0.0,381.66418,0.0,254831.86,945.47003,251009.38,249754.328125,20.13561,4.0271225,5.087958,0.6175032,0.06326449,0.0,0.6807677,0.64840376,139.80666,0.518723,257943.02
11,1998-01-01 10:00:00,200.0,104.0,163.0,2.0,8.1,0.16,20.791935,158.23158,63.716686,0.0,,200.0,46.13186,167.26587,0.1187095,42.161446,165.48746,0.0702332,39.467945,157.88217,0.01811132,193.42087,194.14055,350859.66,6.653304,343004.38,362199.4,358975.25,294938.06,291286.94,354897.47,1639.779,0.0,0.0,710.9549,0.0,354186.78,946.4392,348873.97,347129.59375,31.062656,6.212531,7.8495727,0.9037153,0.047898002,0.0,0.9516133,0.90333843,193.41788,0.72267073,358841.62
12,1998-01-01 11:00:00,313.0,374.0,164.0,3.1,7.5,0.16,23.532978,172.84314,60.58061,0.0,,313.0,183.19531,175.00914,0.18578036,166.93706,173.14783,0.109914966,158.15317,165.19319,0.028344216,316.90723,317.68973,574131.5,10.71247,569332.44,593651.9,588147.44,487660.12,481676.3,581064.5,1625.7799,0.0,0.0,1916.6187,0.0,579148.4,948.00244,570461.1,567608.8125,36.579636,7.315927,9.24494,0.9255744,0.14211033,0.0,1.0676848,1.0189062,316.8746,0.815125,587996.56
13,1998-01-01 12:00:00,360.0,574.0,132.0,5.1,8.4,0.16,23.465609,187.8981,60.658607,0.0,,360.0,280.40662,144.33702,0.2136771,256.17056,142.80164,0.12641977,242.63387,136.2425,0.032600377,371.33078,372.1197,672493.56,14.015493,669179.9,690967.25,683967.0,570230.2,563224.75,675470.5,1629.9761,0.0,0.0,2557.3186,0.0,672913.7,948.73773,662820.0,659505.9375,34.576057,6.9152117,8.739218,0.7960813,0.18111952,0.0,0.9772008,0.93413866,371.37238,0.7473109,683829.6
14,1998-01-01 13:00:00,356.0,726.0,100.0,5.1,8.3,0.16,20.59832,202.46878,63.93867,0.0,,356.0,319.5234,111.37445,0.2113029,294.95682,110.189545,0.12501511,275.88156,105.129105,0.032238152,373.42203,374.10123,676087.75,14.062352,672832.6,694638.9,687194.3,572396.2,565019.56,677944.3,1589.6526,0.0,0.0,2040.3041,0.0,675904.4,948.14825,665765.8,662437.0,26.211344,5.242269,6.624197,0.66798353,0.19291541,0.0,0.860899,0.8211494,373.4443,0.65691954,687073.6
